t,beta,r,d,gamma,sigma
392,0.116704501,0.086358339,0.000429029,0.000100031,0.05
393,0.116704501,0.086358339,0.000429029,0.000100031,0.05
394,0.116704501,0.086358339,0.000429029,0.000100031,0.05
395,0.116704501,0.086358339,0.000429029,0.000100031,0.05
396,0.116704501,0.086358339,0.000429029,0.000100031,0.05
397,0.116704501,0.086358339,0.000429029,0.000100031,0.05
398,0.112489235,0.082521217,0.000543418,0.00010176,0.05
399,0.112489235,0.082521217,0.000543418,0.00010176,0.05
400,0.112489235,0.082521217,0.000543418,0.00010176,0.05
401,0.112489235,0.082521217,0.000543418,0.00010176,0.05
402,0.112489235,0.082521217,0.000543418,0.00010176,0.05
403,0.112489235,0.082521217,0.000543418,0.00010176,0.05
404,0.112489235,0.082521217,0.000543418,0.00010176,0.05
405,0.112489235,0.082521217,0.000543418,0.00010176,0.05
406,0.112489235,0.082521217,0.000543418,0.00010176,0.05
407,0.11932535,0.088843652,0.000623941,9.99E-05,0.05
408,0.11932535,0.088843652,0.000623941,9.99E-05,0.05
409,0.11932535,0.088843652,0.000623941,9.99E-05,0.05
410,0.11932535,0.088843652,0.000623941,9.99E-05,0.05
411,0.11932535,0.088843652,0.000623941,9.99E-05,0.05
412,0.113953414,0.08411061,0.000983271,9.87E-05,0.05
413,0.113953414,0.08411061,0.000983271,9.87E-05,0.05
414,0.113953414,0.08411061,0.000983271,9.87E-05,0.05
415,0.113953414,0.08411061,0.000983271,9.87E-05,0.05
416,0.113953414,0.08411061,0.000983271,9.87E-05,0.05
417,0.113953414,0.08411061,0.000983271,9.87E-05,0.05
418,0.113953414,0.08411061,0.000983271,9.87E-05,0.05
419,0.113953414,0.08411061,0.000983271,9.87E-05,0.05
420,0.113953414,0.08411061,0.000983271,9.87E-05,0.05
421,0.113953414,0.08411061,0.000983271,9.87E-05,0.05
422,0.104589956,0.072842253,0.001108537,0.00010012,0.05
423,0.104589956,0.072842253,0.001108537,0.00010012,0.05
424,0.104589956,0.072842253,0.001108537,0.00010012,0.05
425,0.104589956,0.072842253,0.001108537,0.00010012,0.05
426,0.104589956,0.072842253,0.001108537,0.00010012,0.05
427,0.104589956,0.072842253,0.001108537,0.00010012,0.05
428,0.104589956,0.072842253,0.001108537,0.00010012,0.05
429,0.104589956,0.072842253,0.001108537,0.00010012,0.05
430,0.104589956,0.072842253,0.001108537,0.00010012,0.05
431,0.104589956,0.072842253,0.001108537,0.00010012,0.05
432,0.104589956,0.072842253,0.001108537,0.00010012,0.05
433,0.104589956,0.072842253,0.001108537,0.00010012,0.05
434,0.104589956,0.072842253,0.001108537,0.00010012,0.05
435,0.104589956,0.072842253,0.001108537,0.00010012,0.05
436,0.104589956,0.072842253,0.001108537,0.00010012,0.05
437,0.104589956,0.072842253,0.001108537,0.00010012,0.05
438,0.104589956,0.072842253,0.001108537,0.00010012,0.05
439,0.083208557,0.092559051,0.001053867,9.88E-05,0.05
440,0.083208557,0.092559051,0.001053867,9.88E-05,0.05
441,0.083208557,0.092559051,0.001053867,9.88E-05,0.05
442,0.083208557,0.092559051,0.001053867,9.88E-05,0.05
443,0.083208557,0.092559051,0.001053867,9.88E-05,0.05
444,0.083208557,0.092559051,0.001053867,9.88E-05,0.05
445,0.083208557,0.092559051,0.001053867,9.88E-05,0.05
446,0.083208557,0.092559051,0.001053867,9.88E-05,0.05
447,0.083208557,0.092559051,0.001053867,9.88E-05,0.05
448,0.083208557,0.092559051,0.001053867,9.88E-05,0.05
449,0.083208557,0.092559051,0.001053867,9.88E-05,0.05
450,0.083208557,0.092559051,0.001053867,9.88E-05,0.05
451,0.083208557,0.092559051,0.001053867,9.88E-05,0.05
452,0.083208557,0.092559051,0.001053867,9.88E-05,0.05
453,0.083208557,0.092559051,0.001053867,9.88E-05,0.05
454,0.083208557,0.092559051,0.001053867,9.88E-05,0.05
455,0.083208557,0.092559051,0.001053867,9.88E-05,0.05
456,0.083208557,0.092559051,0.001053867,9.88E-05,0.05
457,0.083208557,0.092559051,0.001053867,9.88E-05,0.05
458,0.083208557,0.092559051,0.001053867,9.88E-05,0.05
459,0.105636803,0.075549975,0.001289077,9.67E-05,0.05
